Identity URI;GS1 Company Prefix Length in Digits;Tag URI;EPC Membank Contents starting at address 0x20
urn:epc:id:sgtin:0867360217.005.174434896136;10;urn:epc:tag:sgtin-96:0.0867360217.005.174434896136;300833B2DDD901689D214908
urn:epc:id:sgtin:0867360217.005.175508637960;10;urn:epc:tag:sgtin-96:0.0867360217.005.175508637960;300833B2DDD90168DD214908
urn:epc:id:sgtin:0867360217.005.191219325704;10;urn:epc:tag:sgtin-96:0.0867360217.005.191219325704;300833B2DDD9016C858F5B08
urn:epc:id:sgtin:0867360217.005.198718744072;10;urn:epc:tag:sgtin-96:0.0867360217.005.198718744072;300833B2DDD9016E448F6608
urn:epc:id:sgtin:4194304.000000.177552916480;7;urn:epc:tag:sgtin-96:0.4194304.000000.177552916480;301500000000002956FA8000
urn:epc:id:sgtin:4194304.000002.223271191347;7;urn:epc:tag:sgtin-96:0.4194304.000002.223271191347;30150000000000B3FC000333
urn:epc:id:sgtin:4194304.000590.236088986442;7;urn:epc:tag:sgtin-96:0.4194304.000590.236088986442;30150000000093B6F8000B4A
urn:epc:id:sgtin:4869952.000008.218909117258;7;urn:epc:tag:sgtin-96:0.4869952.000008.218909117258;3015293D00000232F8000B4A
urn:epc:id:sgtin:4869960.540680.223204084554;7;urn:epc:tag:sgtin-96:0.4869960.540680.223204084554;3015293D22100233F8000B4A
urn:epc:id:sgtin:4869960.540680.227499051850;7;urn:epc:tag:sgtin-96:0.4869960.540680.227499051850;3015293D22100234F8000B4A
urn:epc:id:sgtin:4869960.540680.236088986442;7;urn:epc:tag:sgtin-96:0.4869960.540680.236088986442;3015293D22100236F8000B4A
urn:epc:id:sgtin:4870012.248526.177635700736;7;urn:epc:tag:sgtin-96:0.4870012.248526.177635700736;3015293DF0F2B3A95BE9B000
urn:epc:id:sgtin:4870012.345678.227465497479;7;urn:epc:tag:sgtin-96:0.4870012.345678.227465497479;3015293DF15193B4F6000B87
